rep,var,wregime,das,depth,wexr,rld,RLD100
1,MOROB,STRESS,90,25,0.144937,0.311915,31.1915
1,MOROB,STRESS,90,35,0.162485,0.407165,40.7165
1,MOROB,STRESS,90,45,0.360275,0.54957,54.957
1,MOROB,STRESS,90,55,0.538514,0.557055,55.7055
1,MOROB,STRESS,90,65,0.795729,0.22429,22.429
2,MOROB,STRESS,14,5,0.254637,0.111555,11.1555
2,MOROB,STRESS,14,15,0.258755,0.35734,35.734
2,MOROB,STRESS,14,25,0.249859,0.43393,43.393
2,MOROB,STRESS,14,35,0.303048,0.215685,21.5685
2,MOROB,STRESS,14,45,0.318052,0.19372,19.372
2,MOROB,STRESS,14,55,0.354323,0.22958,22.958
2,MOROB,STRESS,14,65,0.314849,0.10617,10.617
2,MOROB,STRESS,21,5,0.365934,0,0
2,MOROB,STRESS,21,15,0.257407,0,0
2,MOROB,STRESS,21,25,0.229796,0,0
2,MOROB,STRESS,21,35,0.189306,0,0
2,MOROB,STRESS,21,45,0.180658,0,0
2,MOROB,STRESS,21,55,0.213721,0,0
2,MOROB,STRESS,21,65,0.219512,0,0
2,MOROB,STRESS,35,5,0.816447,0.23319,23.319
2,MOROB,STRESS,35,15,1.146544,0.701445,70.1445
2,MOROB,STRESS,35,25,0.748286,0.8294,82.94
2,MOROB,STRESS,35,35,0.737055,0.65962,65.962
2,MOROB,STRESS,35,45,0.74375,1.050845,105.0845
2,MOROB,STRESS,35,55,0.589197,0.69199,69.199
2,MOROB,STRESS,35,65,0.586118,0.3193,31.93
2,MOROB,STRESS,42,5,0.652555,0.01033,1.033
2,MOROB,STRESS,42,15,0.827979,0.44101,44.101
2,MOROB,STRESS,42,25,1.170422,0.580105,58.0105
2,MOROB,STRESS,42,35,1.377865,0.28927,28.927
2,MOROB,STRESS,42,45,1.46162,0.609055,60.9055
2,MOROB,STRESS,42,55,1.008438,0.943825,94.3825
2,MOROB,STRESS,42,65,0.988752,0.33718,33.718
2,MOROB,STRESS,49,5,0.521597,0.011365,1.1365
2,MOROB,STRESS,49,15,0.644714,0.32516,32.516
2,MOROB,STRESS,49,25,0.703191,0.46367,46.367
2,MOROB,STRESS,49,35,0.760423,0.293345,29.3345
2,MOROB,STRESS,49,45,1.006597,0.4027,40.27
2,MOROB,STRESS,49,55,1.623046,0.308825,30.8825
2,MOROB,STRESS,49,65,1.671019,0.31189,31.189
2,MOROB,STRESS,62,5,0.385706,0.98155,98.155
2,MOROB,STRESS,62,15,0.404769,1.33624,133.624
2,MOROB,STRESS,62,25,0.43033,0.56719,56.719
2,MOROB,STRESS,62,35,0.459046,0.68661,68.661
2,MOROB,STRESS,62,45,0.491679,0.83795,83.795
2,MOROB,STRESS,62,55,0.506751,0.894785,89.4785
2,MOROB,STRESS,62,65,0.512023,0.83459,83.459
2,MOROB,STRESS,69,5,1.161683,0.20112,20.112
2,MOROB,STRESS,69,15,0.661176,0.72034,72.034
2,MOROB,STRESS,69,25,0.462416,0.77384,77.384
2,MOROB,STRESS,69,35,0.72725,1.000865,100.0865
2,MOROB,STRESS,69,45,0.199913,0.85881,85.881
2,MOROB,STRESS,69,55,0.133421,0.84851,84.851
2,MOROB,STRESS,69,65,0.139372,0.58207,58.207
2,MOROB,STRESS,83,5,1.182375,0.532275,53.2275
