Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
667,C,e40,IR78908-193-B-3-B,1,73,119.767,3695.21,6866.83,47.71,,C,CC
836,S,e46,KALIA,2,75,125.1,3696.58,8122.05,40.3516,,C,SC
2804,S,e2,BINUHANGIN,2,80,116,3700.5,9742.53,37.983,,J,SJ
2894,S,e32,IR77298-14-1-2-1,2,78,114.667,3700.66,9968.53,37.1234,,J,SJ
1077,S,e26,IR71700-247-1-1,3,74,124.667,3703.31,11802.81,27.8183,,D,SD
1068,S,e23,DSU-4-18,3,84,86,3704.84,8534.03,38.4894,,D,SD
1726,S,e43,IR79906-B-192-2-1,1,77,141.5,3705.75,12458.45,26.3718,,F,SF
2770,C,e41,IR78910-23-1-3-3,1,69,125,3706.12,9188.17,40.3358,,J,CJ
690,C,e47,M4FNS-3076,3,73,98.6,3706.81,8740.45,37.6005,,C,CC
936,C,e29,IR75282-58-1-2-3,3,86,109,3707.19,9470.45,34.7057,,D,CD
906,C,e19,DK157,3,86,124.667,3708.15,10224.97,32.153,,D,CD
2732,C,e28,IR74371-54-1-1,2,80,132.333,3709.37,7803.25,47.5362,,J,CJ
1801,C,e18,DK142,1,68,87.167,3710.66,9680.47,33.9846,,G,CG
2101,C,e18,DK142,1,68,87.167,3710.66,9680.47,33.9846,,H,CH
2464,C,e39,IR78908-156-B-2-B,1,70,122.333,3711.05,8054.61,46.0736,,I,CI
2351,C,e1,APO,2,73,103.333,3712.27,5947.56,62.4167,,I,CI
2737,C,e30,IR75870-8-1-2-B-6-2-B-B-B,1,87,113,3712.33,10387.28,35.7392,,J,CJ
2650,C,e1,APO,1,87,120,3713.07,8955.14,41.4631,,J,CJ
2385,C,e12,DK109,3,73,82.333,3714.78,7011.05,52.9847,,I,CI
327,C,e22,DSL-89-3,3,81,87.333,3715.2,10002.2,37.1438,,B,CB
1027,S,e10,DK106,1,79,87,3717.23,8541.69,38.5836,,D,SD
1536,C,e29,IR75282-58-1-2-3,3,77,119.333,3720.85,9677.17,34.0895,,F,CF
